Weapon,Minimum,Q1,Q3,Maximum,Median,IQR
Thompson 1928,160,160.0,240.0,720,160.0,80.0,Thompson 1928,240,400.0,800.0,2080,560.0,400.0,Thompson 1928,240,1360.0,2640.0,7120,1920.0,1280.0,Thompson 1928,400,4080.0,8080.0,25040,5840.0,4000.0,Thompson 1928,0,0.0,0.0,0,0.0,0.0
UMP45,200,200.0,300.0,800,200.0,100.0,UMP45,300,500.0,1000.0,2900,700.0,500.0,UMP45,300,1700.0,3200.0,10000,2300.0,1500.0,UMP45,600,5100.0,10100.0,35300,7300.0,5000.0,UMP45,0,0.0,0.0,0,0.0,0.0
UMP45 Reaper,200,200.0,300.0,800,200.0,100.0,UMP45 Reaper,300,500.0,1000.0,2500,700.0,500.0,UMP45 Reaper,300,1700.0,3200.0,10700,2400.0,1500.0,UMP45 Reaper,500,5000.0,10000.0,34100,7200.0,5000.0,UMP45 Reaper,0,0.0,0.0,0,0.0,0.0
BAR,120,120.0,120.0,120,120.0,0.0,BAR,120,120.0,120.0,120,120.0,0.0,BAR,120,120.0,120.0,120,120.0,0.0,BAR,120,120.0,120.0,840,120.0,0.0,BAR,120,120.0,240.0,1200,120.0,120.0
XM250,90,90.0,90.0,90,90.0,0.0,XM250,90,90.0,90.0,90,90.0,0.0,XM250,90,90.0,90.0,90,90.0,0.0,XM250,90,90.0,90.0,450,90.0,0.0,XM250,90,90.0,180.0,540,90.0,90.0
M1A SASS,1,1.0,1.0,1,1.0,0.0,M1A SASS,1,1.0,1.0,1,1.0,0.0,M1A SASS,1,1.0,1.0,1,1.0,0.0,M1A SASS,1,1.0,1.0,5,1.0,0.0,M1A SASS,1,1.0,2.0,10,1.0,1.0
SKS,1,1.0,1.0,1,1.0,0.0,SKS,1,1.0,1.0,5,1.0,0.0,SKS,2,2.0,4.0,12,3.0,2.0,SKS,3,5.0,10.0,28,7.0,5.0,SKS,3,10.0,19.0,53,14.0,9.0
AWM,0,0.0,0.0,0,0.0,0.0,AWM,0,0.0,0.0,0,0.0,0.0,AWM,0,0.0,0.0,0,0.0,0.0,AWM,0,0.0,0.0,0,0.0,0.0,AWM,0,0.0,0.0,0,0.0,0.0
Mosin,1,1.0,1.0,1,1.0,0.0,Mosin,1,1.0,1.0,1,1.0,0.0,Mosin,1,1.0,1.0,1,1.0,0.0,Mosin,1,1.0,1.0,5,1.0,0.0,Mosin,1,1.0,2.0,8,1.0,1.0
Springfield,1,1.0,1.0,1,1.0,0.0,Springfield,1,1.0,1.0,1,1.0,0.0,Springfield,1,1.0,1.0,1,1.0,0.0,Springfield,1,1.0,1.0,5,1.0,0.0,Springfield,2,2.0,4.0,13,3.0,2.0
