Weapon,Minimum,Q1,Q3,Maximum,Median,IQR
MP9,315,1071.0,1764.0,5166,1386.0,693.0,MP9,567,2646.0,4536.0,11718,3528.0,1890.0,MP9,0,0.0,0.0,0,0.0,0.0,MP9,0,0.0,0.0,0,0.0,0.0,MP9,0,0.0,0.0,0,0.0,0.0
MPX JW,350,1190.0,1960.0,5180,1540.0,770.0,MPX JW,490,2940.0,5040.0,13440,3920.0,2100.0,MPX JW,0,0.0,0.0,0,0.0,0.0,MPX JW,0,0.0,0.0,0,0.0,0.0,MPX JW,0,0.0,0.0,0,0.0,0.0
FNP90,162,162.0,270.0,702,216.0,108.0,FNP90,270,918.0,1512.0,3564,1188.0,594.0,FNP90,1026,4536.0,7884.0,21276,5994.0,3348.0,FNP90,0,0.0,0.0,0,0.0,0.0,FNP90,0,0.0,0.0,0,0.0,0.0
PP-19 Bizon,623,1780.0,2848.0,7120,2314.0,1068.0,PP-19 Bizon,1246,4539.0,7476.0,18690,5874.0,2937.0,PP-19 Bizon,0,0.0,0.0,0,0.0,0.0,PP-19 Bizon,0,0.0,0.0,0,0.0,0.0,PP-19 Bizon,0,0.0,0.0,0,0.0,0.0
PPSH,171,171.0,285.0,684,228.0,114.0,PPSH,285,969.0,1596.0,3648,1254.0,627.0,PPSH,1026,4788.0,8322.0,23769,6384.0,3534.0,PPSH,0,0.0,0.0,0,0.0,0.0,PPSH,0,0.0,0.0,0,0.0,0.0
Thompson 1928,320,1040.0,1840.0,5520,1440.0,800.0,Thompson 1928,400,2640.0,4880.0,14320,3680.0,2240.0,Thompson 1928,0,0.0,0.0,0,0.0,0.0,Thompson 1928,0,0.0,0.0,0,0.0,0.0,Thompson 1928,0,0.0,0.0,0,0.0,0.0
UMP45,400,1300.0,2300.0,7400,1800.0,1000.0,UMP45,600,3300.0,6100.0,18100,4600.0,2800.0,UMP45,0,0.0,0.0,0,0.0,0.0,UMP45,0,0.0,0.0,0,0.0,0.0,UMP45,0,0.0,0.0,0,0.0,0.0
UMP45 Reaper,400,1300.0,2400.0,7400,1800.0,1100.0,UMP45 Reaper,700,3300.0,6100.0,17300,4600.0,2800.0,UMP45 Reaper,0,0.0,0.0,0,0.0,0.0,UMP45 Reaper,0,0.0,0.0,0,0.0,0.0,UMP45 Reaper,0,0.0,0.0,0,0.0,0.0
BAR,120,120.0,120.0,120,120.0,0.0,BAR,120,120.0,120.0,120,120.0,0.0,BAR,120,120.0,240.0,1080,120.0,120.0,BAR,240,480.0,960.0,3360,720.0,480.0,BAR,240,1320.0,3000.0,9360,2040.0,1680.0
XM250,90,90.0,90.0,90,90.0,0.0,XM250,90,90.0,90.0,90,90.0,0.0,XM250,90,90.0,180.0,630,90.0,90.0,XM250,180,270.0,540.0,1980,450.0,270.0,XM250,180,630.0,1260.0,4680,900.0,630.0
