AK-109_bins,AK-109,AK5C_bins,AK5C,AK-74_bins,AK-74,AKM_bins,AKM,AKS74-U_bins,AKS74-U,AS VAL_bins,AS VAL,AUG A1_bins,AUG A1,SKS Auto_bins,SKS Auto,Famas-G2_bins,Famas-G2,G36k_bins,G36k,G3A3_bins,G3A3,Galil_bins,Galil,L85A2_bins,L85A2,M16A2_bins,M16A2,M4_bins,M4,SCAR-L_bins,SCAR-L,SG552_bins,SG552,Stoner 63_bins,Stoner 63,VSS_bins,VSS,Agram 2000_bins,Agram 2000,CX8 Storm_bins,CX8 Storm,Vector 10mm_bins,Vector 10mm,Vector 9mm_bins,Vector 9mm,Luty_bins,Luty,MAC-10_bins,MAC-10,MAC-11_bins,MAC-11,MAT-49_bins,MAT-49,MP40_bins,MP40,MP5_bins,MP5,MP7_bins,MP7,MP9_bins,MP9,MPX JW_bins,MPX JW,FNP90_bins,FNP90,PP-19 Bizon_bins,PP-19 Bizon,PPSH_bins,PPSH,Thompson 1928_bins,Thompson 1928,UMP45_bins,UMP45,UMP45 Reaper_bins,UMP45 Reaper,BAR_bins,BAR,XM250_bins,XM250,M1A SASS_bins,M1A SASS,SKS_bins,SKS,AWM_bins,AWM,Mosin_bins,Mosin,Springfield_bins,Springfield,Hunter_bins,Hunter,C1911_bins,C1911,Deagle_bins,Deagle,5-7_bins,5-7,Glock 17_bins,Glock 17,Makarov_bins,Makarov,Ruger_bins,Ruger,Tokarev_bins,Tokarev,USP_bins,USP,JW 2011_bins,JW 2011,JW G34_bins,JW G34,SVD_bins,SVD,Barrett_bins,Barrett
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2080,18,1560,14,1375,2,1485,37,1300,24,1040,25,1026,37,2600,16,2990,14,2080,20,,,1638,17,1820,19,,,2403,36,,,2000,1,2400,2,2400,5,,,,,,,,,,,,,,,,,25,9,,,,,26,25,27,41,34,343,,,25,11,25,6,26,23,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160,12,1620,15,1430,10,1540,19,1350,11,1080,14,1064,27,2700,10,3105,17,2160,17,,,1701,13,1890,11,,,2492,21,,,2080,1,2500,3,2500,2,,,,,,,,,,,,,,,,,26,7,,,,,27,23,28,34,35,278,,,26,5,26,7,27,11,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240,6,1680,12,1485,4,1595,14,1400,9,1120,5,1102,22,2800,12,3220,13,2240,9,,,1764,8,1960,14,,,2581,10,,,,,2600,3,,,,,,,,,,,,,,,,,,,27,3,,,,,28,14,29,15,36,218,,,27,3,27,5,28,9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2320,1,1740,6,1540,4,1650,15,1450,7,1160,4,1140,8,2900,5,3335,5,2320,2,,,1827,6,2030,5,,,2670,11,,,,,2700,2,,,,,,,,,,,,,,,,,,,28,3,,,,,29,4,30,12,37,199,,,28,3,28,3,29,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,5,1800,4,1595,2,1705,8,1500,5,1200,2,1178,7,3000,6,3450,2,2400,5,,,1890,2,2100,4,,,2759,6,,,,,2900,1,,,,,,,,,,,,,,,,,,,29,1,,,,,30,4,31,10,38,167,,,29,3,29,1,30,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2480,2,1860,4,1705,1,1760,4,1550,2,1240,2,1216,6,3100,4,3565,2,2480,1,,,1953,2,2170,3,,,2848,5,,,,,,,,,,,,,,,,,,,,,,,,,31,1,,,,,31,3,32,5,39,112,,,,,31,1,31,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2560,3,1920,1,1760,1,1815,7,1600,2,1280,1,1254,5,3300,1,3680,1,2560,1,,,2016,3,2240,4,,,2937,2,,,,,,,,,,,,,,,,,,,,,,,,,32,1,,,,,32,1,33,7,40,94,,,,,32,1,32,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,1,1870,3,1750,1,1320,1,1292,3,3600,2,3795,2,3040,1,,,2079,2,2310,1,,,3026,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,1,34,2,41,70,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,1,,,1360,1,1330,1,3800,2,3910,2,,,,,2142,1,2450,1,,,3204,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2,35,4,42,56,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,3,,,1400,1,1368,1,,,4830,1,,,,,2205,1,,,,,3382,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,1,43,27,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035,1,,,,,1406,1,,,,,,,,,2520,1,,,,,3649,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,35,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,23,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,18,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,7,,,,,,,,,,,,
